-10.0311 -6.59675 -12.8628
-10.0311 -4.59675 -13.837
-10.0311 -2.59675 -14.4835
-10.0311 -0.596755 -14.4835
-10.0311 1.40325 -14.4835
-10.0311 3.40325 -14.4835
-8.03115 -6.59675 -12.6328
-8.03115 -4.59675 -8.83425
-8.03115 -2.59675 -11.9108
-8.03115 -0.596755 -10.323
-8.03115 1.40325 -14.0925
-8.03115 3.40325 -14.0925
-6.03115 -6.59675 -14.0925
-6.03115 -4.59675 -12.287
-6.03115 -2.59675 -10.5005
-6.03115 -0.596755 -12.97
-6.03115 1.40325 -16.3838
-6.03115 3.40325 -10.7768
-4.03115 -6.59675 -10.7768
-4.03115 -4.59675 -13.0818
-4.03115 -2.59675 -10.451
-4.03115 -0.596755 -16.3838
-4.03115 1.40325 -6.103
-4.03115 3.40325 -6.103
-2.03115 -6.59675 -6.103
-2.03115 -4.59675 -6.103
-2.03115 -2.59675 -2.73625
-2.03115 -0.596755 -1.68875
-2.03115 1.40325 -13.24
-2.03115 3.40325 -13.24
-0.031147 -6.59675 -13.3573
-0.031147 -4.59675 -13.3573
-0.031147 -2.59675 -1.518
-0.031147 -0.596755 -1.411
-0.031147 1.40325 -10.899
-0.031147 3.40325 -16.3838
1.96885 -6.59675 -16.3838
1.96885 -4.59675 -16.3838
1.96885 -2.59675 -5.91875
1.96885 -0.596755 -16.3838
1.96885 1.40325 -15.7768
1.96885 3.40325 -12.7343
3.96885 -6.59675 -12.7343
3.96885 -4.59675 -12.7343
3.96885 -2.59675 -12.7343
3.96885 -0.596755 -12.7343
3.96885 1.40325 -9.46575
3.96885 3.40325 -9.46575
5.96885 -6.59675 -9.46575
5.96885 -4.59675 -10.2168
5.96885 -2.59675 -14.598
5.96885 -0.596755 -14.598
5.96885 1.40325 -14.598
5.96885 3.40325 -14.598
7.96885 -6.59675 -13.2188
7.96885 -4.59675 -13.2188
7.96885 -2.59675 -16.3838
7.96885 -0.596755 -16.3838
7.96885 1.40325 -14.7393
7.96885 3.40325 -14.7393
